,Lawyer Names,Information,First_Name
1390,Nehmat Loyal,"Nehmat Loyal has 4 years of experience in Corporate Law, Family Law, and Tax Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is High Court. He charges 71.33703626303821 USD per hour. He takes 74.1583264621937 Avg Days for Disposal. He speaks: Urdu, Malayalam and Kannada. He practices at Dube, Garg and Gola, and is based in Chennai. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",Nehmat
1402,Ehsaan Bhakta,"Ehsaan Bhakta has 5 years of experience in Constitutional Law, Environmental Law, and Intellectual Property Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is District Court. He charges 176.2084508920936 USD per hour. He takes 88.7049321262991 Avg Days for Disposal. He speaks: Marathi, Marathi and Assamese. He practices at Bava and Sons, and is based in Mumbai. She provides pro bono services to the community. Her Client Demographics is Individuals.",Ehsaan
1410,Aaryahi Rama,"Aaryahi Rama has 23 years of experience in Criminal Law, Human Rights Law, and Tax Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is District Court. He charges 344.72349705529473 USD per hour. He takes 105.86701511312877 Avg Days for Disposal. He speaks: Kannada, Bengali and Malayalam. He practices at Shroff-Bhatt, and is based in Bangalore. He provides pro bono services to the community. His Client Demographics is Small Businesses.",Aaryahi
1415,Indrans Bajwa,"Indrans Bajwa has 12 years of experience in Labor Law, Tax Law, and Criminal Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is High Court. He charges 440.309587601911 USD per hour. He takes 126.89807977544069 Avg Days for Disposal. He speaks: Telugu, Assamese and Marathi. He practices at Khalsa-Taneja, and is based in Hyderabad. He does not provide pro bono services to the community. His Client Demographics is Small Businesses.",Indrans
1418,Neelofar Dubey,"Neelofar Dubey has 8 years of experience in Medical Law, Consumer Protection Law, and Corporate Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 323.85721692828844 USD per hour. He takes 107.03430878237214 Avg Days for Disposal. He speaks: Gujarati, Punjabi and Assamese. He practices at Malhotra, Choudhary and Devi, and is based in Chennai. He provides pro bono services to the community. His Client Demographics is Small Businesses.",Neelofar
1423,Kismat Taneja,"Kismat Taneja has 8 years of experience in Banking and Finance Law, Environmental Law, and Medical Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is High Court. He charges 228.31130606738267 USD per hour. He takes 74.9388055056746 Avg Days for Disposal. He speaks: Urdu, Marathi and Odia. He practices at Lad, Chatterjee and Sarna, and is based in Hyderabad. He does not provide pro bono services to the community. His Client Demographics is Large Corporations.",Kismat
1441,Vardaniya Rau,"Vardaniya Rau has 19 years of experience in Intellectual Property Law, Human Rights Law, and Human Rights Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 407.78279653152384 USD per hour. He takes 79.17646376489957 Avg Days for Disposal. He speaks: Punjabi, Malayalam and Telugu. He practices at Chad PLC, and is based in Hyderabad. She does not provide pro bono services to the community. Her Client Demographics is Individuals.",Vardaniya
1444,Shayak Chanda,"Shayak Chanda has 8 years of experience in Media and Entertainment Law, Real Estate Law, and Human Rights Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is High Court. He charges 223.2314251869007 USD per hour. He takes 101.97136572992342 Avg Days for Disposal. He speaks: Urdu, Gujarati and Bengali. He practices at Ratta, Shroff and D’Alia, and is based in Delhi. He does not provide pro bono services to the community. His Client Demographics is Large Corporations.",Shayak
1466,Shanaya Sachdev,"Shanaya Sachdev has 15 years of experience in Family Law, Civil Law, and Intellectual Property Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is High Court. He charges 92.64581196556728 USD per hour. He takes 86.34884546148137 Avg Days for Disposal. He speaks: Marathi, Assamese and Gujarati. He practices at Vora-Behl, and is based in Hyderabad. He provides pro bono services to the community. His Client Demographics is Small Businesses.",Shanaya
1469,Rania Trivedi,"Rania Trivedi has 9 years of experience in Banking and Finance Law, Banking and Finance Law, and Media and Entertainment Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is Specialized Court. He charges 81.04550391970676 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Punjabi, Urdu and Gujarati. He practices at Chaudhry and Sons, and is based in Delhi. She provides pro bono services to the community. Her Client Demographics is Large Corporations.",Rania
1487,Shalv Guha,"Shalv Guha has 27 years of experience in Labor Law, Real Estate Law, and Consumer Protection Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 136.08012051343147 USD per hour. He takes 98.75824533426001 Avg Days for Disposal. He speaks: Telugu, Malayalam and Punjabi. He practices at Garg-Dara, and is based in Hyderabad. He does not provide pro bono services to the community. His Client Demographics is Individuals.",Shalv
1494,Shalv Chawla,"Shalv Chawla has 22 years of experience in Banking and Finance Law, Immigration Law, and Corporate Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 76.34147003602256 USD per hour. He takes 104.33555956670801 Avg Days for Disposal. He speaks: Odia, Marathi and Bengali. He practices at Borah LLC, and is based in Delhi. She provides pro bono services to the community. Her Client Demographics is Large Corporations.",Shalv
1496,Vardaniya Bora,"Vardaniya Bora has 25 years of experience in Banking and Finance Law, Criminal Law, and Tax Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 120.94746205860858 USD per hour. He takes 76.64346370586007 Avg Days for Disposal. He speaks: Assamese, Malayalam and Telugu. He practices at Char-Mallick, and is based in Bangalore. She provides pro bono services to the community. Her Client Demographics is Individuals.",Vardaniya
1497,Shayak Ben,"Shayak Ben has 7 years of experience in Constitutional Law, Criminal Law, and Media and Entertainment Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 128.30470160725588 USD per hour. He takes 81.53565220921472 Avg Days for Disposal. He speaks: Odia, Assamese and Bengali. He practices at D’Alia-Batta, and is based in Chennai. She provides pro bono services to the community. Her Client Demographics is Individuals.",Shayak
1499,Parinaaz Badal,"Parinaaz Badal has 6 years of experience in Civil Law, Family Law, and Constitutional Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is Supreme Court. He charges 57.127131925193396 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Marathi, Telugu and Marathi. He practices at Lad-Seshadri, and is based in Mumbai. He does not provide pro bono services to the community. His Client Demographics is Individuals.",Parinaaz
1500,Rasha Desai,"Rasha Desai has 21 years of experience in Civil Law, Constitutional Law, and Constitutional Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is District Court. He charges 301.0145565809455 USD per hour. He takes 93.85496168378745 Avg Days for Disposal. He speaks: Tamil, Gujarati and Tamil. He practices at Sachdeva-Vaidya, and is based in Delhi. He does not provide pro bono services to the community. His Client Demographics is Individuals.",Rasha
1501,Indrans Shukla,"Indrans Shukla has 24 years of experience in Consumer Protection Law, Human Rights Law, and Human Rights Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is High Court. He charges 220.75762126705916 USD per hour. He takes 70.14525643736732 Avg Days for Disposal. He speaks: Urdu, Malayalam and Tamil. He practices at Sengupta, Chhabra and Rao, and is based in Mumbai. She provides pro bono services to the community. Her Client Demographics is Large Corporations.",Indrans
1508,Suhana Sachdev,"Suhana Sachdev has 28 years of experience in Labor Law, Constitutional Law, and Corporate Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is District Court. He charges 136.66173460633755 USD per hour. He takes 93.54064595736556 Avg Days for Disposal. He speaks: Bengali, Malayalam and Urdu. He practices at Walla and Sons, and is based in Hyderabad. She provides pro bono services to the community. Her Client Demographics is Individuals.",Suhana
1513,Aaina Sampath,"Aaina Sampath has 17 years of experience in Family Law, Tax Law, and Tax Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 211.79441503400156 USD per hour. He takes 87.23566497250933 Avg Days for Disposal. He speaks: Marathi, Urdu and Tamil. He practices at Ben, Mallick and Kala, and is based in Chennai. He provides pro bono services to the community. His Client Demographics is Individuals.",Aaina
1553,Abram Dave,"Abram Dave has 1 years of experience in Criminal Law, Corporate Law, and Tax Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 345.703477577573 USD per hour. He takes 81.32681852670369 Avg Days for Disposal. He speaks: Kannada, Hindi and Punjabi. He practices at Bail PLC, and is based in Chennai. She provides pro bono services to the community. Her Client Demographics is Small Businesses.",Abram
1569,Suhana Dewan,"Suhana Dewan has 18 years of experience in Media and Entertainment Law, Labor Law, and Environmental Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is Supreme Court. He charges 443.10000930218996 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Kannada, Marathi and Odia. He practices at Sarin PLC, and is based in Bangalore. She provides pro bono services to the community. Her Client Demographics is Large Corporations.",Suhana
1576,Ehsaan Sama,"Ehsaan Sama has 3 years of experience in Media and Entertainment Law, Human Rights Law, and Constitutional Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is District Court. He charges 279.676724606918 USD per hour. He takes 92.92432638618281 Avg Days for Disposal. He speaks: Urdu, Gujarati and Odia. He practices at Agrawal Group, and is based in Bangalore. She does not provide pro bono services to the community. Her Client Demographics is Small Businesses.",Ehsaan
1589,Dhanuk Sarin,"Dhanuk Sarin has 28 years of experience in Banking and Finance Law, Immigration Law, and Constitutional Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is Supreme Court. He charges 368.90452398447815 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Punjabi, Kannada and Punjabi. He practices at Dutt, Bava and Toor, and is based in Mumbai. She does not provide pro bono services to the community. Her Client Demographics is Small Businesses.",Dhanuk
1591,Shalv Dutt,"Shalv Dutt has 8 years of experience in Family Law, Tax Law, and Media and Entertainment Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is District Court. He charges 68.14857247318085 USD per hour. He takes 76.71429300300466 Avg Days for Disposal. He speaks: Punjabi, Assamese and Punjabi. He practices at Konda, Maharaj and Choudhary, and is based in Mumbai. She provides pro bono services to the community. Her Client Demographics is Small Businesses.",Shalv
1596,Kismat Gopal,"Kismat Gopal has 24 years of experience in Media and Entertainment Law, Immigration Law, and Intellectual Property Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 278.84250117396857 USD per hour. He takes 90.35077821987761 Avg Days for Disposal. He speaks: Hindi, Urdu and Urdu. He practices at Roy-Dash, and is based in Mumbai. She provides pro bono services to the community. Her Client Demographics is Small Businesses.",Kismat
1605,Ivana Gola,"Ivana Gola has 14 years of experience in Real Estate Law, Consumer Protection Law, and Criminal Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 435.994496767599 USD per hour. He takes 99.05569860816294 Avg Days for Disposal. He speaks: Malayalam, Malayalam and Odia. He practices at Sridhar-Rau, and is based in Bangalore. She does not provide pro bono services to the community. Her Client Demographics is Small Businesses.",Ivana
1610,Shayak Dasgupta,"Shayak Dasgupta has 10 years of experience in Tax Law, Real Estate Law, and Criminal Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is District Court. He charges 248.55335109127256 USD per hour. He takes 113.06326978551516 Avg Days for Disposal. He speaks: Malayalam, Assamese and Telugu. He practices at Comar, Wable and Devan, and is based in Chennai. She provides pro bono services to the community. Her Client Demographics is Individuals.",Shayak
1620,Siya Bath,"Siya Bath has 29 years of experience in Civil Law, Immigration Law, and Criminal Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 244.31229535366043 USD per hour. He takes 89.51278446236859 Avg Days for Disposal. He speaks: Gujarati, Punjabi and Malayalam. He practices at Biswas Inc, and is based in Bangalore. He does not provide pro bono services to the community. His Client Demographics is Large Corporations.",Siya
1623,Anahi Babu,"Anahi Babu has 2 years of experience in Intellectual Property Law, Environmental Law, and Media and Entertainment Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 473.43460452925723 USD per hour. He takes 119.75556203218127 Avg Days for Disposal. He speaks: Tamil, Kannada and Hindi. He practices at Tak-Sharma, and is based in Hyderabad. He does not provide pro bono services to the community. His Client Demographics is Individuals.",Anahi
1633,Vardaniya Apte,"Vardaniya Apte has 23 years of experience in Real Estate Law, Civil Law, and Civil Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 415.0231717456095 USD per hour. He takes 75.18715556359508 Avg Days for Disposal. He speaks: Bengali, Urdu and Marathi. He practices at Sanghvi LLC, and is based in Chennai. He does not provide pro bono services to the community. His Client Demographics is Individuals.",Vardaniya
1667,Aaina Kanda,"Aaina Kanda has 22 years of experience in Medical Law, Immigration Law, and Civil Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is District Court. He charges 281.7173789873024 USD per hour. He takes 105.15568969924895 Avg Days for Disposal. He speaks: Bengali, Bengali and Urdu. He practices at Anne-Srinivasan, and is based in Mumbai. He provides pro bono services to the community. His Client Demographics is Individuals.",Aaina
1678,Taimur Krish,"Taimur Krish has 5 years of experience in Criminal Law, Medical Law, and Environmental Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 90.33429798707806 USD per hour. He takes 99.69194514036258 Avg Days for Disposal. He speaks: Malayalam, Assamese and Urdu. He practices at Bakshi, Dewan and Kamdar, and is based in Delhi. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",Taimur
1698,Parinaaz Doctor,"Parinaaz Doctor has 21 years of experience in Medical Law, Labor Law, and Media and Entertainment Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 491.2916988038223 USD per hour. He takes 107.44501454557957 Avg Days for Disposal. He speaks: Marathi, Gujarati and Telugu. He practices at Bhatia, Karan and Salvi, and is based in Delhi. She does not provide pro bono services to the community. Her Client Demographics is Individuals.",Parinaaz
1703,Abram Buch,"Abram Buch has 8 years of experience in Banking and Finance Law, Intellectual Property Law, and Immigration Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 398.9342815666226 USD per hour. He takes 54.68275615955097 Avg Days for Disposal. He speaks: Kannada, Marathi and Assamese. He practices at Jayaraman, Sen and Bala, and is based in Mumbai. She does not provide pro bono services to the community. Her Client Demographics is Individuals.",Abram
1715,Rasha Chander,"Rasha Chander has 28 years of experience in Family Law, Civil Law, and Consumer Protection Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is District Court. He charges 188.8846918357778 USD per hour. He takes 90.24561362896941 Avg Days for Disposal. He speaks: Odia, Punjabi and Assamese. He practices at Rao Inc, and is based in Hyderabad. She provides pro bono services to the community. Her Client Demographics is Individuals.",Rasha
1723,Rania Buch,"Rania Buch has 19 years of experience in Human Rights Law, Media and Entertainment Law, and Environmental Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 252.5428708658867 USD per hour. He takes 86.01119888706673 Avg Days for Disposal. He speaks: Bengali, Odia and Bengali. He practices at Koshy-Balakrishnan, and is based in Delhi. She does not provide pro bono services to the community. Her Client Demographics is Individuals.",Rania
1734,Neelofar Lad,"Neelofar Lad has 17 years of experience in Tax Law, Banking and Finance Law, and Medical Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is District Court. He charges 436.40242471827327 USD per hour. He takes 87.0291035517164 Avg Days for Disposal. He speaks: Hindi, Bengali and Bengali. He practices at Singhal, Keer and Bajaj, and is based in Chennai. He provides pro bono services to the community. His Client Demographics is Small Businesses.",Neelofar
1738,Kismat Zachariah,"Kismat Zachariah has 3 years of experience in Media and Entertainment Law, Family Law, and Human Rights Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is High Court. He charges 101.75492157264402 USD per hour. He takes 95.1812127246578 Avg Days for Disposal. He speaks: Kannada, Tamil and Telugu. He practices at Kadakia-Bhatnagar, and is based in Delhi. He does not provide pro bono services to the community. His Client Demographics is Large Corporations.",Kismat
1747,Stuvan Raju,"Stuvan Raju has 24 years of experience in Intellectual Property Law, Labor Law, and Immigration Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is District Court. He charges 482.98365927131005 USD per hour. He takes 52.36564232257386 Avg Days for Disposal. He speaks: Odia, Assamese and Punjabi. He practices at Barman Ltd, and is based in Bangalore. She provides pro bono services to the community. Her Client Demographics is Small Businesses.",Stuvan
1750,Aaina Upadhyay,"Aaina Upadhyay has 4 years of experience in Banking and Finance Law, Constitutional Law, and Tax Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 411.5937995718925 USD per hour. He takes 98.72585047455759 Avg Days for Disposal. He speaks: Kannada, Bengali and Malayalam. He practices at Thakkar Group, and is based in Mumbai. She provides pro bono services to the community. Her Client Demographics is Large Corporations.",Aaina
1757,Siya Golla,"Siya Golla has 17 years of experience in Labor Law, Intellectual Property Law, and Consumer Protection Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 149.05815988888702 USD per hour. He takes 100.40559168804278 Avg Days for Disposal. He speaks: Hindi, Punjabi and Odia. He practices at Bajwa-Salvi, and is based in Mumbai. She does not provide pro bono services to the community. Her Client Demographics is Individuals.",Siya
1759,Farhan Boase,"Farhan Boase has 13 years of experience in Intellectual Property Law, Human Rights Law, and Banking and Finance Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is District Court. He charges 249.61986559318422 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Bengali, Assamese and Punjabi. He practices at Tata-Chacko, and is based in Kolkata. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",Farhan
1765,Abram Sabharwal,"Abram Sabharwal has 21 years of experience in Consumer Protection Law, Consumer Protection Law, and Human Rights Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 344.14541438252917 USD per hour. He takes 84.9070476500102 Avg Days for Disposal. He speaks: Punjabi, Gujarati and Gujarati. He practices at Barad-Mann, and is based in Kolkata. She provides pro bono services to the community. Her Client Demographics is Small Businesses.",Abram
1768,Samaira Sampath,"Samaira Sampath has 8 years of experience in Real Estate Law, Environmental Law, and Human Rights Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 161.56960241261322 USD per hour. He takes 79.73339396870726 Avg Days for Disposal. He speaks: Malayalam, Bengali and Urdu. He practices at Bakshi Group, and is based in Kolkata. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",Samaira
1773,Ryan Doctor,"Ryan Doctor has 11 years of experience in Banking and Finance Law, Real Estate Law, and Real Estate Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 91.1673310683412 USD per hour. He takes 73.31508795494129 Avg Days for Disposal. He speaks: Telugu, Urdu and Hindi. He practices at Koshy-Soman, and is based in Bangalore. She does not provide pro bono services to the community. Her Client Demographics is Small Businesses.",Ryan
1774,Ehsaan Gupta,"Ehsaan Gupta has 8 years of experience in Constitutional Law, Consumer Protection Law, and Medical Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 281.2441256502051 USD per hour. He takes 72.48363876150118 Avg Days for Disposal. He speaks: Assamese, Tamil and Telugu. He practices at De Group, and is based in Mumbai. He does not provide pro bono services to the community. His Client Demographics is Small Businesses.",Ehsaan
1781,Rasha Kunda,"Rasha Kunda has 5 years of experience in Corporate Law, Immigration Law, and Media and Entertainment Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is District Court. He charges 133.62442500440415 USD per hour. He takes 107.15042295308743 Avg Days for Disposal. He speaks: Bengali, Marathi and Punjabi. He practices at Banik-Contractor, and is based in Kolkata. He provides pro bono services to the community. His Client Demographics is Large Corporations.",Rasha
1782,Aaryahi Magar,"Aaryahi Magar has 12 years of experience in Civil Law, Constitutional Law, and Immigration Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 490.0970406822056 USD per hour. He takes 92.77287981090547 Avg Days for Disposal. He speaks: Hindi, Bengali and Punjabi. He practices at Suresh PLC, and is based in Hyderabad. He provides pro bono services to the community. His Client Demographics is Large Corporations.",Aaryahi
1786,Suhana Baria,"Suhana Baria has 2 years of experience in Tax Law, Civil Law, and Human Rights Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is High Court. He charges 192.24719957340304 USD per hour. He takes 86.69151089599029 Avg Days for Disposal. He speaks: Tamil, Hindi and Punjabi. He practices at Krishna LLC, and is based in Kolkata. She does not provide pro bono services to the community. Her Client Demographics is Individuals.",Suhana
1789,Shanaya Suri,"Shanaya Suri has 5 years of experience in Intellectual Property Law, Media and Entertainment Law, and Intellectual Property Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is High Court. He charges 176.2860109444321 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Malayalam, Bengali and Marathi. He practices at Garde PLC, and is based in Kolkata. She provides pro bono services to the community. Her Client Demographics is Small Businesses.",Shanaya
1798,Stuvan Mani,"Stuvan Mani has 23 years of experience in Real Estate Law, Criminal Law, and Intellectual Property Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 343.25590769529214 USD per hour. He takes 91.89468771880499 Avg Days for Disposal. He speaks: Malayalam, Urdu and Hindi. He practices at Keer PLC, and is based in Chennai. He does not provide pro bono services to the community. His Client Demographics is Large Corporations.",Stuvan
1808,Nehmat Dewan,"Nehmat Dewan has 23 years of experience in Family Law, Intellectual Property Law, and Intellectual Property Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 240.97505813262967 USD per hour. He takes 101.97850009665885 Avg Days for Disposal. He speaks: Marathi, Odia and Urdu. He practices at Srivastava, Madan and Dash, and is based in Mumbai. He does not provide pro bono services to the community. His Client Demographics is Small Businesses.",Nehmat
1819,Ivana Halder,"Ivana Halder has 27 years of experience in Real Estate Law, Banking and Finance Law, and Corporate Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is High Court. He charges 300.67141378650535 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Gujarati, Odia and Kannada. He practices at Sule and Sons, and is based in Delhi. He does not provide pro bono services to the community. His Client Demographics is Individuals.",Ivana
1823,Shanaya Chakrabarti,"Shanaya Chakrabarti has 26 years of experience in Civil Law, Corporate Law, and Medical Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 111.31275429139004 USD per hour. He takes 103.07333949432213 Avg Days for Disposal. He speaks: Assamese, Bengali and Assamese. He practices at Swamy LLC, and is based in Bangalore. He does not provide pro bono services to the community. His Client Demographics is Individuals.",Shanaya
1840,Nirvaan Bhatia,"Nirvaan Bhatia has 19 years of experience in Immigration Law, Civil Law, and Real Estate Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 235.93751546125895 USD per hour. He takes 81.18393046020152 Avg Days for Disposal. He speaks: Hindi, Punjabi and Tamil. He practices at Mahajan Inc, and is based in Chennai. She does not provide pro bono services to the community. Her Client Demographics is Small Businesses.",Nirvaan
1854,Ryan Vala,"Ryan Vala has 7 years of experience in Immigration Law, Constitutional Law, and Medical Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is High Court. He charges 454.9592945096023 USD per hour. He takes 98.49903222589089 Avg Days for Disposal. He speaks: Hindi, Marathi and Odia. He practices at Mani Group, and is based in Kolkata. She provides pro bono services to the community. Her Client Demographics is Individuals.",Ryan
1861,Neelofar Vora,"Neelofar Vora has 13 years of experience in Civil Law, Intellectual Property Law, and Corporate Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is District Court. He charges 437.4783214158737 USD per hour. He takes 94.16273788322836 Avg Days for Disposal. He speaks: Odia, Assamese and Gujarati. He practices at Sane, Vyas and Anne, and is based in Hyderabad. She does not provide pro bono services to the community. Her Client Demographics is Small Businesses.",Neelofar
1863,Samaira Bir,"Samaira Bir has 3 years of experience in Criminal Law, Immigration Law, and Immigration Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is District Court. He charges 354.92503194481736 USD per hour. He takes 87.92497076975434 Avg Days for Disposal. He speaks: Bengali, Telugu and Malayalam. He practices at Saha-Sidhu, and is based in Delhi. He does not provide pro bono services to the community. His Client Demographics is Individuals.",Samaira
1872,Nehmat Brahmbhatt,"Nehmat Brahmbhatt has 15 years of experience in Civil Law, Criminal Law, and Constitutional Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 261.6458215717429 USD per hour. He takes 61.79346683905378 Avg Days for Disposal. He speaks: Kannada, Hindi and Assamese. He practices at Sami-Sachdev, and is based in Bangalore. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",Nehmat
1878,Vardaniya Ravel,"Vardaniya Ravel has 25 years of experience in Banking and Finance Law, Corporate Law, and Civil Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is High Court. He charges 54.29252931149522 USD per hour. He takes 67.76404819506347 Avg Days for Disposal. He speaks: Marathi, Odia and Bengali. He practices at Banerjee, Hayre and Srinivas, and is based in Bangalore. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",Vardaniya
1886,Aaryahi Randhawa,"Aaryahi Randhawa has 2 years of experience in Intellectual Property Law, Constitutional Law, and Immigration Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is District Court. He charges 344.92243975855394 USD per hour. He takes 85.91359648603692 Avg Days for Disposal. He speaks: Odia, Hindi and Odia. He practices at Barman, Garg and Tara, and is based in Mumbai. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",Aaryahi
1896,Mamooty Shah,"Mamooty Shah has 3 years of experience in Civil Law, Medical Law, and Environmental Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 444.8701587791696 USD per hour. He takes 94.41123058189821 Avg Days for Disposal. He speaks: Gujarati, Odia and Bengali. He practices at Grover-Bansal, and is based in Hyderabad. He provides pro bono services to the community. His Client Demographics is Large Corporations.",Mamooty
1899,Kismat Goyal,"Kismat Goyal has 14 years of experience in Constitutional Law, Environmental Law, and Criminal Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is High Court. He charges 496.9236825200653 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Odia, Gujarati and Malayalam. He practices at Babu Inc, and is based in Mumbai. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",Kismat
1900,Dhanuk Bhagat,"Dhanuk Bhagat has 20 years of experience in Medical Law, Labor Law, and Medical Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 97.74142247657844 USD per hour. He takes 70.5711206899932 Avg Days for Disposal. He speaks: Marathi, Malayalam and Marathi. He practices at Bakshi, Dutt and Sridhar, and is based in Kolkata. He does not provide pro bono services to the community. His Client Demographics is Large Corporations.",Dhanuk
1906,Stuvan Shan,"Stuvan Shan has 25 years of experience in Corporate Law, Corporate Law, and Tax Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 122.49501046539001 USD per hour. He takes 92.81189073133366 Avg Days for Disposal. He speaks: Malayalam, Odia and Telugu. He practices at Vig, Balakrishnan and Behl, and is based in Kolkata. She does not provide pro bono services to the community. Her Client Demographics is Individuals.",Stuvan
1937,Seher Buch,"Seher Buch has 24 years of experience in Tax Law, Medical Law, and Human Rights Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 138.62913359392462 USD per hour. He takes 108.84296159120524 Avg Days for Disposal. He speaks: Marathi, Marathi and Gujarati. He practices at Raju-Arora, and is based in Mumbai. He provides pro bono services to the community. His Client Demographics is Large Corporations.",Seher
